id,nama_resep,bahan_resep,bahan_alergen,daerah_resep,umur_resep
98,Tim Saring Salmon dan Tempe,"ikan salmon, beras merah, tempe, buncis baby, kaldu sayur, telur rebus",mentega,Indonesia,9-11 Bulan
99,Nasi Tim Daging Sapi,"daging sapi, kaldu sapi, wortel, brokoli, bawang bombay, minyak zaitun/mentega",mentega,Indonesia,9-11 Bulan
100,Nasi Tim Brokoli Ayam,"beras putih, air, daging ayam, brokoli, wortel, mentega",mentega,Indonesia,9-11 Bulan
101,Nasi Tim Bayam Daging,"daging cincang, nasi aron, air, bayam, tahu putih, tomat, daun salam",tahu,Indonesia,9-11 Bulan
102,Makaroni Tim Daging,"makaroni, daging ayam/sapi cincang, bawang putih, bawang bombay, wortel kecil, kentang kecil, mentega, ASI",pasta,Indonesia,9-11 Bulan
102,Makaroni Tim Daging,"makaroni, daging ayam/sapi cincang, bawang putih, bawang bombay, wortel kecil, kentang kecil, mentega, ASI",mentega,Indonesia,9-11 Bulan
102,Makaroni Tim Daging,"makaroni, daging ayam/sapi cincang, bawang putih, bawang bombay, wortel kecil, kentang kecil, mentega, ASI",susu,Indonesia,9-11 Bulan
103,Nasi Tim Hati Sapi,"beras, hati sapi, labu manis, bayam, margarin",,Indonesia,9-11 Bulan
104,Bubur Susu Avokad,"tepung beras, air, sari avokad, ASI",tepung,Indonesia,6-8 Bulan
105,Pure Apel Merah Sari Jeruk,"apel merah, air, jeruk bayi",,Indonesia,6-8 Bulan
106,Bubur Maizena Saus Jambu Merah,"tepung maizena, air, ASI, jambu merah, air",tepung,Indonesia,6-8 Bulan
107,Bubur Susu Stroberi,"tepung beras, air matang, stroberi, susu kedelai/ASI",tepung,Indonesia,6-8 Bulan
107,Bubur Susu Stroberi,"tepung beras, air matang, stroberi, susu kedelai/ASI",susu,Indonesia,6-8 Bulan
108,Smoothie Pepaya,"pepaya, air",,Indonesia,6-8 Bulan
109,Bubur Susu Kacang  Ijo,"tepung kacang hijau, air, ASI, melon",tepung,Indonesia,6-8 Bulan
